surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,,>=3,continuous severe pain,absent,severe,,,[-Inf; Inf],decreased,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,no
yes,young,[-Inf; Inf],(58; Inf],(59; Inf],normal,,normal pink,<3,intermittent severe pain,hypermotile,moderate,,,[-Inf; Inf],increased,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],warm,normal,normal pink,<3,depressed,hypermotile,none,none,none,[-Inf; Inf],normal,,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],euthanized,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale cyanotic,<3,,absent,,,<1l,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,depressed,hypomotile,slight,slight,none,[-Inf; Inf],decreased,distended large intestine,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],,normal,normal pink,<3,intermittent severe pain,hypomotile,slight,none,none,[-Inf; Inf],absent,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,young,[-Inf; Inf],(58; Inf],[-Inf;59],,,,,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,normal,bright pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,[-Inf; Inf],normal,distended large intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],(59; Inf],cool,normal,normal pink,<3,intermittent mild pain,hypomotile,none,slight,none,[-Inf; Inf],normal,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],euthanized,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],warm,normal,pale pink,<3,intermittent mild pain,hypomotile,slight,none,none,[-Inf; Inf],normal,distended large intestine,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,normal,bright pink,<3,depressed,hypomotile,slight,,<1l,[-Inf; Inf],,distended small intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],,,normal pink,<3,,hypomotile,,,,[-Inf; Inf],decreased,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],(59; Inf],warm,reduced,normal pink,<3,,hypomotile,none,none,>1l,[-Inf; Inf],normal,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,normal pink,<3,intermittent mild pain,hypomotile,slight,slight,>1l,[-Inf; Inf],decreased,distended small intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,dark cyanotic,<3,continuous severe pain,absent,none,slight,<1l,[-Inf; Inf],decreased,normal,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,significant,<1l,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale pink,<3,continuous severe pain,hypomotile,moderate,none,none,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,reduced,,,,absent,severe,,,[-Inf; Inf],,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],euthanized,yes
yes,young,[-Inf; Inf],(58; Inf],[-Inf;59],normal,reduced,dark cyanotic,>=3,continuous severe pain,hypomotile,slight,none,none,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,reduced,pale pink,<3,alert no pain,hypomotile,slight,significant,none,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,alert no pain,hypermotile,none,,,[-Inf; Inf],normal,normal,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cold,reduced,normal pink,<3,depressed,absent,moderate,slight,>1l,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],,,normal pink,,alert no pain,hypermotile,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,bright red,<3,depressed,hypomotile,none,none,none,[-Inf; Inf],absent,normal,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,absent,bright red,>=3,depressed,hypomotile,slight,slight,none,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,,,,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,intermittent mild pain,hypermotile,none,slight,none,[-Inf; Inf],normal,,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,normal,normal pink,<3,intermittent mild pain,hypomotile,none,slight,none,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,normal,normal pink,>=3,intermittent severe pain,,moderate,none,<1l,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],euthanized,yes
no,young,[-Inf; Inf],(58; Inf],[-Inf;59],,,,<3,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,,,,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,normal,bright pink,<3,alert no pain,hypermotile,,,,[-Inf; Inf],normal,normal,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale pink,<3,depressed,hypomotile,moderate,slight,>1l,[-Inf; Inf],decreased,normal,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,reduced,bright pink,<3,intermittent severe pain,hypomotile,moderate,none,,[-Inf; Inf],normal,distended large intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale pink,<3,,hypomotile,,slight,none,[-Inf; Inf],,distended small intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],euthanized,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,depressed,hypermotile,none,,,[-Inf; Inf],decreased,other,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,increased,pale cyanotic,>=3,intermittent severe pain,hypomotile,moderate,significant,none,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],euthanized,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cold,reduced,pale cyanotic,<3,intermittent severe pain,absent,moderate,slight,none,[-Inf; Inf],decreased,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale pink,<3,intermittent mild pain,hypomotile,moderate,significant,none,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],,,,,,,,,,[-Inf; Inf],absent,normal,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],euthanized,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],,normal,bright pink,>=3,intermittent mild pain,absent,none,slight,>1l,[-Inf; Inf],,other,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],,absent,pale pink,>=3,continuous severe pain,absent,severe,none,none,[-Inf; Inf],decreased,distended large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,normal,pale cyanotic,>=3,intermittent severe pain,absent,moderate,none,none,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],euthanized,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,,pale pink,<3,alert no pain,,none,,,[-Inf; Inf],,other,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,,normal pink,<3,,absent,,significant,>1l,[-Inf; Inf],,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],(59; Inf],cool,increased,bright pink,<3,intermittent mild pain,normal,none,slight,>1l,[-Inf; Inf],normal,normal,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,normal,bright pink,<3,intermittent mild pain,,none,slight,,[-Inf; Inf],increased,,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,no
,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,normal,pale cyanotic,>=3,depressed,,,,,[-Inf; Inf],,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,reduced,pale pink,>=3,depressed,hypomotile,none,slight,none,[-Inf; Inf],decreased,,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,normal,bright red,<3,depressed,absent,slight,none,>1l,[-Inf; Inf],,distended small intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,normal,pale pink,>=3,intermittent mild pain,hypomotile,slight,significant,<1l,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],(59; Inf],cool,reduced,pale pink,<3,continuous severe pain,absent,severe,slight,>1l,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,normal,pale pink,<3,intermittent mild pain,,slight,slight,none,[-Inf; Inf],decreased,distended large intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],warm,reduced,normal pink,<3,depressed,absent,moderate,significant,>1l,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],warm,reduced,pale pink,<3,intermittent severe pain,hypomotile,moderate,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],died,yes
no,young,[-Inf; Inf],(58; Inf],(59; Inf],cold,absent,pale cyanotic,>=3,continuous severe pain,absent,severe,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,,dark cyanotic,>=3,intermittent severe pain,absent,moderate,none,,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],euthanized,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,moderate,slight,none,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,normal,pale pink,<3,intermittent mild pain,normal,moderate,slight,none,[-Inf; Inf],,distended large intestine,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,normal,bright red,>=3,intermittent severe pain,hypomotile,moderate,slight,<1l,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cold,,pale cyanotic,>=3,continuous severe pain,hypomotile,none,none,<1l,[-Inf; Inf],,distended small intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,alert no pain,hypomotile,none,,,[-Inf; Inf],normal,firm feces in large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,normal,pale pink,<3,intermittent mild pain,hypomotile,none,,,[-Inf; Inf],normal,firm feces in large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,normal,pale pink,<3,alert no pain,hypomotile,slight,slight,none,[-Inf; Inf],decreased,distended large intestine,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,,pale pink,<3,depressed,hypermotile,none,none,none,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,,intermittent mild pain,normal,none,none,none,[-Inf; Inf],decreased,firm feces in large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,normal,normal pink,,depressed,hypomotile,,,,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cold,reduced,bright red,>=3,depressed,absent,moderate,slight,<1l,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],warm,reduced,bright pink,<3,continuous severe pain,hypomotile,moderate,none,>1l,[-Inf; Inf],normal,distended large intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,,dark cyanotic,,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale pink,<3,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,normal,normal pink,<3,depressed,hypomotile,moderate,none,<1l,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,alert no pain,hypermotile,none,,,[-Inf; Inf],normal,normal,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,pale pink,<3,alert no pain,hypomotile,none,,,[-Inf; Inf],normal,,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,reduced,pale pink,,,hypermotile,none,slight,none,[-Inf; Inf],absent,,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,reduced,bright pink,>=3,depressed,absent,none,slight,,[-Inf; Inf],absent,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],[-Inf;58],(59; Inf],normal,normal,pale pink,<3,,absent,none,slight,none,[-Inf; Inf],normal,distended small intestine,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,normal,bright pink,<3,depressed,hypomotile,moderate,,<1l,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cold,reduced,dark cyanotic,>=3,depressed,absent,moderate,none,none,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],euthanized,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],warm,,pale cyanotic,<3,intermittent mild pain,,moderate,,>1l,[-Inf; Inf],decreased,distended small intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,,pale pink,>=3,depressed,normal,none,,,[-Inf; Inf],,firm feces in large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale pink,<3,intermittent severe pain,absent,moderate,slight,none,[-Inf; Inf],decreased,distended large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,normal,normal pink,>=3,alert no pain,hypermotile,none,,,[-Inf; Inf],absent,other,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,normal,normal pink,<3,intermittent severe pain,hypomotile,none,,,[-Inf; Inf],decreased,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],(59; Inf],cool,normal,pale cyanotic,<3,depressed,hypomotile,moderate,,<1l,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],euthanized,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,normal,pale pink,<3,depressed,hypomotile,slight,none,>1l,[-Inf; Inf],decreased,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],euthanized,no
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,,pale pink,<3,depressed,hypomotile,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],euthanized,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,alert no pain,normal,none,none,none,[-Inf; Inf],normal,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],(59; Inf],,,normal pink,<3,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,,normal pink,<3,intermittent mild pain,absent,moderate,slight,>1l,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cold,reduced,,>=3,depressed,absent,none,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,normal,pale pink,<3,intermittent severe pain,hypermotile,none,none,none,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],euthanized,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,normal,pale pink,<3,intermittent mild pain,hypomotile,moderate,slight,<1l,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,normal,pale cyanotic,<3,continuous severe pain,hypomotile,moderate,,<1l,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,yes
yes,young,[-Inf; Inf],(58; Inf],(59; Inf],cold,absent,dark cyanotic,,intermittent mild pain,hypomotile,moderate,,,[-Inf; Inf],normal,,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,normal,pale pink,<3,intermittent severe pain,normal,slight,none,none,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,alert no pain,hypomotile,none,,,[-Inf; Inf],decreased,firm feces in large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,normal,bright pink,<3,depressed,hypermotile,none,none,none,[-Inf; Inf],normal,distended small intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],euthanized,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,,pale pink,<3,alert no pain,hypermotile,none,,,[-Inf; Inf],,normal,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
