capital_run_length_longest,word_freq_1999,word_freq_original,word_freq_project,word_freq_credit,'char_freq_\%5B',word_freq_order,word_freq_remove,word_freq_will,word_freq_receive,word_freq_415,word_freq_over,word_freq_technology,word_freq_money,capital_run_length_average,word_freq_parts,word_freq_font,word_freq_george,word_freq_all,'char_freq_\%24',capital_run_length_total,word_freq_people,word_freq_table,word_freq_cs,word_freq_your,word_freq_edu,word_freq_direct,word_freq_addresses,word_freq_make,'char_freq_\%28',word_freq_meeting,word_freq_our,'char_freq_\%3B',word_freq_internet,word_freq_857,word_freq_3d,word_freq_mail,word_freq_you,word_freq_email,word_freq_650,word_freq_hp,word_freq_conference,word_freq_re,word_freq_lab,word_freq_address,word_freq_free,'char_freq_\%23',word_freq_pm,'char_freq_\%21',word_freq_report,word_freq_85,word_freq_data,word_freq_telnet,word_freq_labs,word_freq_business,word_freq_000,word_freq_hpl,class
18.5_to_55.5,-inf_to_0.025,-inf_to_0.245,0.085_to_inf,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,0.245_to_1.605,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,1.0535_to_2.014,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,90.5_to_216.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.1105_to_0.2815,-inf_to_0.385,0.345_to_inf,-inf_to_0.0725,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,-inf_to_0.015,-inf_to_0.015,0.01_to_inf,0.715_to_inf,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,0.145_to_inf,-inf_to_0.555,-inf_to_0.045,0.125_to_inf,-inf_to_0.065,-inf_to_0.125,0.095_to_inf,0
9.5_to_18.5,0.025_to_inf,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,0.045_to_inf,-inf_to_0.01,0.245_to_1.605,-inf_to_0.045,-inf_to_0.195,0.085_to_0.265,-inf_to_0.085,-inf_to_0.01,1.0535_to_2.014,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,216.5_to_726.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.002_to_0.1105,-inf_to_0.385,0.345_to_inf,-inf_to_0.0725,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,0.015_to_0.815,-inf_to_0.015,-inf_to_0.01,-inf_to_0.095,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,-inf_to_0.555,-inf_to_0.045,-inf_to_0.125,0.065_to_0.94,-inf_to_0.125,-inf_to_0.095,0
9.5_to_18.5,0.025_to_inf,0.245_to_inf,-inf_to_0.085,-inf_to_0.075,0.0325_to_inf,-inf_to_0.045,-inf_to_0.01,-inf_to_0.245,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,3.334_to_4.813,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,51.5_to_90.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,0.025_to_inf,-inf_to_0.075,0.1105_to_0.2815,-inf_to_0.385,-inf_to_0.01,-inf_to_0.0725,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,0.045_to_inf,-inf_to_0.015,-inf_to_0.015,-inf_to_0.01,0.715_to_inf,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,0.555_to_inf,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,0.095_to_inf,0
18.5_to_55.5,-inf_to_0.025,-inf_to_0.245,0.085_to_inf,-inf_to_0.075,0.0325_to_inf,0.045_to_inf,-inf_to_0.01,-inf_to_0.245,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,2.014_to_3.334,All,-inf_to_0.115,0.005_to_0.44,-inf_to_0.235,0.0125_to_0.0555,726.5_to_inf,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,0.025_to_inf,-inf_to_0.075,0.1105_to_0.2815,-inf_to_0.385,0.01_to_0.345,0.0725_to_inf,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,0.015_to_0.815,0.015_to_inf,-inf_to_0.01,0.715_to_inf,-inf_to_0.01,0.015_to_0.135,-inf_to_0.125,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,-inf_to_0.555,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,0.095_to_inf,0
-inf_to_9.5,-inf_to_0.025,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,0.245_to_1.605,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,1.0535_to_2.014,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,51.5_to_90.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,-inf_to_0.002,-inf_to_0.385,-inf_to_0.01,-inf_to_0.0725,0.035_to_inf,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,0.015_to_0.815,-inf_to_0.015,-inf_to_0.01,-inf_to_0.095,-inf_to_0.01,-inf_to_0.015,0.125_to_inf,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,-inf_to_0.555,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.095,0
18.5_to_55.5,-inf_to_0.025,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,0.0325_to_inf,-inf_to_0.045,-inf_to_0.01,-inf_to_0.245,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,3.334_to_4.813,All,-inf_to_0.115,0.005_to_0.44,-inf_to_0.235,-inf_to_0.0125,726.5_to_inf,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.002_to_0.1105,-inf_to_0.385,-inf_to_0.01,-inf_to_0.0725,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,-inf_to_0.015,-inf_to_0.015,-inf_to_0.01,-inf_to_0.095,-inf_to_0.01,-inf_to_0.015,0.125_to_inf,-inf_to_0.075,-inf_to_0.075,0.0075_to_0.0355,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,-inf_to_0.555,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.095,0
9.5_to_18.5,-inf_to_0.025,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,-inf_to_0.245,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,2.014_to_3.334,All,-inf_to_0.115,-inf_to_0.005,0.235_to_1.93,-inf_to_0.0125,51.5_to_90.5,-inf_to_0.105,All,-inf_to_0.01,0.405_to_1.075,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.002_to_0.1105,-inf_to_0.385,-inf_to_0.01,-inf_to_0.0725,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,0.815_to_1.785,-inf_to_0.015,-inf_to_0.01,0.095_to_0.715,-inf_to_0.01,0.575_to_1.57,-inf_to_0.125,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,-inf_to_0.555,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,0.095_to_inf,0
-inf_to_9.5,-inf_to_0.025,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,3.145_to_inf,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,1.0535_to_2.014,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,14.5_to_51.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,-inf_to_0.002,0.385_to_inf,0.345_to_inf,-inf_to_0.0725,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,-inf_to_0.015,-inf_to_0.015,-inf_to_0.01,-inf_to_0.095,-inf_to_0.01,-inf_to_0.015,0.125_to_inf,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,-inf_to_0.555,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.095,0
9.5_to_18.5,0.025_to_inf,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,0.245_to_1.605,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,1.0535_to_2.014,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,51.5_to_90.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,-inf_to_0.002,-inf_to_0.385,-inf_to_0.01,-inf_to_0.0725,0.035_to_inf,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,-inf_to_0.015,-inf_to_0.015,-inf_to_0.01,-inf_to_0.095,0.01_to_inf,0.135_to_0.575,0.125_to_inf,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,-inf_to_0.555,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.095,0
-inf_to_9.5,-inf_to_0.025,-inf_to_0.245,0.085_to_inf,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,-inf_to_0.245,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,1.0535_to_2.014,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,-inf_to_14.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,-inf_to_0.002,-inf_to_0.385,-inf_to_0.01,-inf_to_0.0725,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,-inf_to_0.015,-inf_to_0.015,-inf_to_0.01,-inf_to_0.095,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,-inf_to_0.555,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.095,0
-inf_to_9.5,-inf_to_0.025,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,-inf_to_0.245,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,1.0535_to_2.014,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,-inf_to_14.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,-inf_to_0.002,-inf_to_0.385,-inf_to_0.01,-inf_to_0.0725,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,-inf_to_0.015,-inf_to_0.015,-inf_to_0.01,-inf_to_0.095,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,-inf_to_0.555,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.095,0
-inf_to_9.5,-inf_to_0.025,-inf_to_0.245,0.085_to_inf,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,0.245_to_1.605,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,1.0535_to_2.014,All,-inf_to_0.115,0.44_to_inf,0.235_to_1.93,-inf_to_0.0125,14.5_to_51.5,0.105_to_inf,All,-inf_to_0.01,0.405_to_1.075,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.002_to_0.1105,-inf_to_0.385,0.345_to_inf,-inf_to_0.0725,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,0.815_to_1.785,-inf_to_0.015,-inf_to_0.01,0.095_to_0.715,-inf_to_0.01,0.135_to_0.575,-inf_to_0.125,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,0.0795_to_0.3775,0.045_to_inf,-inf_to_0.145,-inf_to_0.555,-inf_to_0.045,0.125_to_inf,-inf_to_0.065,-inf_to_0.125,-inf_to_0.095,0
18.5_to_55.5,0.025_to_inf,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,0.245_to_1.605,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,0.085_to_1.64,-inf_to_0.01,2.014_to_3.334,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,216.5_to_726.5,0.105_to_inf,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.002_to_0.1105,-inf_to_0.385,-inf_to_0.01,-inf_to_0.0725,0.035_to_inf,-inf_to_0.045,-inf_to_0.155,0.045_to_inf,-inf_to_0.015,-inf_to_0.015,-inf_to_0.01,0.715_to_inf,0.01_to_inf,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,0.555_to_inf,-inf_to_0.045,-inf_to_0.125,0.94_to_inf,-inf_to_0.125,-inf_to_0.095,0
-inf_to_9.5,0.025_to_inf,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,0.245_to_1.605,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,2.014_to_3.334,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,216.5_to_726.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,-inf_to_0.002,0.385_to_inf,0.345_to_inf,-inf_to_0.0725,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,0.015_to_0.815,-inf_to_0.015,-inf_to_0.01,-inf_to_0.095,-inf_to_0.01,-inf_to_0.015,0.125_to_inf,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,-inf_to_0.555,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.095,0
9.5_to_18.5,0.025_to_inf,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,0.0325_to_inf,-inf_to_0.045,-inf_to_0.01,0.245_to_1.605,-inf_to_0.045,0.195_to_inf,-inf_to_0.085,0.085_to_1.64,-inf_to_0.01,2.014_to_3.334,All,-inf_to_0.115,0.44_to_inf,-inf_to_0.235,0.0125_to_0.0555,90.5_to_216.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,0.125_to_inf,-inf_to_1.67,-inf_to_0.025,0.075_to_1.69,0.1105_to_0.2815,-inf_to_0.385,0.345_to_inf,-inf_to_0.0725,0.035_to_inf,0.045_to_inf,-inf_to_0.155,0.045_to_inf,0.815_to_1.785,-inf_to_0.015,0.01_to_inf,0.095_to_0.715,-inf_to_0.01,0.575_to_1.57,0.125_to_inf,0.075_to_1.75,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,0.011_to_0.0795,-inf_to_0.045,0.145_to_inf,-inf_to_0.555,0.045_to_inf,0.125_to_inf,-inf_to_0.065,-inf_to_0.125,0.095_to_inf,0
-inf_to_9.5,-inf_to_0.025,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,0.245_to_1.605,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,1.0535_to_2.014,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,14.5_to_51.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,0.075_to_1.69,-inf_to_0.002,0.385_to_inf,-inf_to_0.01,0.0725_to_inf,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,0.815_to_1.785,-inf_to_0.015,-inf_to_0.01,-inf_to_0.095,-inf_to_0.01,0.575_to_1.57,-inf_to_0.125,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,-inf_to_0.555,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.095,0
18.5_to_55.5,0.025_to_inf,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,0.245_to_1.605,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,3.334_to_4.813,All,-inf_to_0.115,0.44_to_inf,-inf_to_0.235,0.0125_to_0.0555,216.5_to_726.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,0.125_to_inf,-inf_to_1.67,-inf_to_0.025,0.075_to_1.69,0.2815_to_inf,-inf_to_0.385,0.345_to_inf,0.0725_to_inf,0.035_to_inf,-inf_to_0.045,-inf_to_0.155,0.045_to_inf,0.815_to_1.785,-inf_to_0.015,-inf_to_0.01,-inf_to_0.095,-inf_to_0.01,0.575_to_1.57,-inf_to_0.125,0.075_to_1.75,-inf_to_0.075,-inf_to_0.0075,0.12_to_0.745,0.011_to_0.0795,-inf_to_0.045,-inf_to_0.145,-inf_to_0.555,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.095,0
-inf_to_9.5,-inf_to_0.025,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,0.245_to_1.605,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,1.0535_to_2.014,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,14.5_to_51.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,-inf_to_0.002,-inf_to_0.385,0.345_to_inf,-inf_to_0.0725,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,-inf_to_0.015,-inf_to_0.015,-inf_to_0.01,0.715_to_inf,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,0.555_to_inf,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.095,0
-inf_to_9.5,-inf_to_0.025,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,-inf_to_0.245,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,3.334_to_4.813,All,-inf_to_0.115,0.44_to_inf,-inf_to_0.235,-inf_to_0.0125,51.5_to_90.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.2815_to_inf,-inf_to_0.385,-inf_to_0.01,-inf_to_0.0725,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,-inf_to_0.015,-inf_to_0.015,-inf_to_0.01,-inf_to_0.095,-inf_to_0.01,-inf_to_0.015,0.125_to_inf,-inf_to_0.075,-inf_to_0.075,0.0355_to_inf,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,0.555_to_inf,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.095,0
18.5_to_55.5,0.025_to_inf,0.245_to_inf,-inf_to_0.085,-inf_to_0.075,0.0325_to_inf,-inf_to_0.045,-inf_to_0.01,-inf_to_0.245,-inf_to_0.045,0.195_to_inf,-inf_to_0.085,0.085_to_1.64,-inf_to_0.01,3.334_to_4.813,All,-inf_to_0.115,0.44_to_inf,-inf_to_0.235,-inf_to_0.0125,216.5_to_726.5,-inf_to_0.105,All,-inf_to_0.01,0.405_to_1.075,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.2815_to_inf,0.385_to_inf,-inf_to_0.01,0.0725_to_inf,-inf_to_0.035,0.045_to_inf,-inf_to_0.155,0.045_to_inf,0.015_to_0.815,-inf_to_0.015,0.01_to_inf,0.715_to_inf,-inf_to_0.01,0.575_to_1.57,0.125_to_inf,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,0.745_to_inf,-inf_to_0.005,-inf_to_0.045,0.145_to_inf,-inf_to_0.555,0.045_to_inf,0.125_to_inf,-inf_to_0.065,-inf_to_0.125,0.095_to_inf,0
9.5_to_18.5,-inf_to_0.025,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,0.245_to_1.605,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,1.0535_to_2.014,All,-inf_to_0.115,-inf_to_0.005,0.235_to_1.93,-inf_to_0.0125,14.5_to_51.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.1105_to_0.2815,-inf_to_0.385,-inf_to_0.01,-inf_to_0.0725,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,0.815_to_1.785,-inf_to_0.015,-inf_to_0.01,0.715_to_inf,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,0.0795_to_0.3775,-inf_to_0.045,-inf_to_0.145,-inf_to_0.555,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,0.095_to_inf,0
9.5_to_18.5,0.025_to_inf,0.245_to_inf,-inf_to_0.085,-inf_to_0.075,0.0325_to_inf,-inf_to_0.045,-inf_to_0.01,0.245_to_1.605,-inf_to_0.045,0.195_to_inf,-inf_to_0.085,0.085_to_1.64,-inf_to_0.01,2.014_to_3.334,All,-inf_to_0.115,0.44_to_inf,-inf_to_0.235,-inf_to_0.0125,90.5_to_216.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.1105_to_0.2815,-inf_to_0.385,-inf_to_0.01,0.0725_to_inf,-inf_to_0.035,0.045_to_inf,-inf_to_0.155,-inf_to_0.045,-inf_to_0.015,-inf_to_0.015,0.01_to_inf,0.715_to_inf,-inf_to_0.01,0.575_to_1.57,0.125_to_inf,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,0.12_to_0.745,-inf_to_0.005,-inf_to_0.045,0.145_to_inf,-inf_to_0.555,0.045_to_inf,0.125_to_inf,-inf_to_0.065,-inf_to_0.125,0.095_to_inf,0
9.5_to_18.5,0.025_to_inf,0.245_to_inf,-inf_to_0.085,-inf_to_0.075,0.0325_to_inf,-inf_to_0.045,-inf_to_0.01,-inf_to_0.245,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,0.085_to_1.64,-inf_to_0.01,1.0535_to_2.014,All,-inf_to_0.115,0.44_to_inf,-inf_to_0.235,-inf_to_0.0125,216.5_to_726.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.1105_to_0.2815,-inf_to_0.385,-inf_to_0.01,0.0725_to_inf,-inf_to_0.035,0.045_to_inf,-inf_to_0.155,-inf_to_0.045,0.015_to_0.815,0.015_to_inf,0.01_to_inf,0.715_to_inf,-inf_to_0.01,0.135_to_0.575,0.125_to_inf,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,0.12_to_0.745,-inf_to_0.005,-inf_to_0.045,0.145_to_inf,-inf_to_0.555,0.045_to_inf,0.125_to_inf,-inf_to_0.065,-inf_to_0.125,0.095_to_inf,0
-inf_to_9.5,-inf_to_0.025,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,-inf_to_0.245,-inf_to_0.045,-inf_to_0.195,-inf_to_0.085,-inf_to_0.085,-inf_to_0.01,1.0535_to_2.014,All,-inf_to_0.115,0.44_to_inf,0.235_to_1.93,-inf_to_0.0125,51.5_to_90.5,-inf_to_0.105,All,-inf_to_0.01,-inf_to_0.405,-inf_to_0.125,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.1105_to_0.2815,-inf_to_0.385,-inf_to_0.01,-inf_to_0.0725,-inf_to_0.035,-inf_to_0.045,-inf_to_0.155,-inf_to_0.045,-inf_to_0.015,-inf_to_0.015,-inf_to_0.01,-inf_to_0.095,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,-inf_to_0.075,-inf_to_0.0075,-inf_to_0.12,-inf_to_0.005,-inf_to_0.045,-inf_to_0.145,0.555_to_inf,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.095,0
